VegPotID;Nothing;ParameterEstimates;SpeciesGroupID
4;1;0.002598412;25
4;1;-0.002368279;25
4;1;0.002202489;25
4;1;0.024605491;25
4;1;-0.038988841;25
4;1;-0.002581128;25
4;1;0.001432333;25
4;1;-0.000267857;25
4;1;0.000543727;25
4;1;0.026685677;25
4;1;-0.001033706;25
4;1;-0.015054684;25
4;1;-0.001749083;25
4;1;0.19503075;25
4;1;0.099673952;27
4;1;0.049243827;27
4;1;-0.001328104;27
4;1;-0.002042248;27
4;1;0.097155769;27
4;1;0.008629232;27
4;1;0.096099458;27
4;1;-0.163283053;27
4;1;0.000276107;27
4;1;-0.003613243;27
4;1;0.008353017;27
4;1;-9.42E-06;27
4;1;-0.101392601;27
4;1;-0.004434248;27
4;1;0.027473316;27
4;1;0.001569617;27
4;1;0.001729249;27
4;1;0.406262435;27
4;1;0.02666247;30
4;1;0.00026904;30
4;1;-0.000454048;30
4;1;-0.001286854;30
4;1;0.018688264;30
4;1;-0.000570165;30
4;1;0.016045051;30
4;1;-0.02914807;30
4;1;0.000724229;30
4;1;-0.001310875;30
4;1;0.003673441;30
4;1;-0.000525997;30
4;1;-0.029845497;30
4;1;-0.001361016;30
4;1;-0.000615956;30
4;1;-0.00137959;30
4;1;0.010025533;30
4;1;0.046325837;30
4;1;0.110422509;30
4;1;-0.008453288;31
4;1;0.008369684;31
4;1;0.001507321;31
4;1;0.005041993;31
4;1;-0.005956885;31
4;1;-0.001458244;31
4;1;-0.006706449;31
4;1;0.011049268;31
4;1;0.000247637;31
4;1;0.004484659;31
4;1;-0.001078628;31
4;1;8.97E-05;31
4;1;-0.007319225;31
4;1;0.002154927;31
4;1;0.003409822;31
4;1;-0.001193177;31
4;1;0.006739881;31
4;1;-0.00606101;31
4;1;0.002446511;31
4;1;0.072147938;31
5;1;0.8851124;1
5;1;-0.123653437;10
5;1;0.769735968;10
5;1;-0.300274465;17
5;1;0.1190238;17
5;1;0.867234193;17
6;1;0.473167957;9
6;1;-0.296597686;10
6;1;0.588438619;10
6;1;-0.166222023;15
6;1;0.079982248;15
6;1;0.73402512;15
6;1;0.148724738;16
6;1;-0.283565344;16
6;1;0.152666917;16
6;1;1.156341386;16
6;1;0.030737179;17
6;1;0.085016395;17
6;1;-0.136912143;17
6;1;-0.125176144;17
6;1;0.471754128;17
6;1;-0.096743071;20
6;1;0.020659256;20
6;1;0.010742807;20
6;1;-0.043654284;20
6;1;-0.007234668;20
6;1;0.377404036;20
6;1;0.083371238;26
